00 1  2  3  4  5  6  7  8  9  10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27

09 29 29 29 29 29 29 29 29 29 29 29 29 18 17 29 29 29 29 29 29 29 29 29 29 29 29 10
31 00 00 00 00 00 00 00 00 00 00 00 00 27 28 00 00 00 00 00 00 00 00 00 00 00 00 32
31 00 01 25 25 02 00 01 25 25 25 02 00 27 28 00 01 25 25 25 02 00 01 25 25 02 00 32
31 00 27 00 00 28 00 27 00 00 00 28 00 27 28 00 27 00 00 00 28 00 27 00 00 28 00 32
31 00 03 26 26 04 00 03 26 26 26 04 00 03 04 00 03 26 26 26 04 00 03 26 26 04 00 32
31 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 32
31 00 01 25 25 02 00 01 02 00 01 25 25 25 25 25 25 02 00 01 02 00 01 25 25 02 00 32
31 00 03 26 26 04 00 27 28 00 03 26 26 06 05 26 26 04 00 27 28 00 03 26 26 04 00 32
31 00 00 00 00 00 00 27 28 00 00 00 00 27 28 00 00 00 00 27 28 00 00 00 00 00 00 32
11 30 30 30 30 02 00 27 07 25 25 02 00 27 28 00 01 25 25 08 28 00 01 30 30 30 30 12
00 00 00 00 00 31 00 27 05 26 26 04 00 03 04 00 03 26 26 06 28 00 32 00 00 00 00 00
00 00 00 00 00 31 00 27 28 00 00 00 00 00 00 00 00 00 00 27 28 00 32 00 00 00 00 00
00 00 00 00 00 31 00 27 28 00 13 30 24 33 33 23 30 14 00 27 28 00 32 00 00 00 00 00
29 29 29 29 29 04 00 03 04 00 32 00 00 00 00 00 00 31 00 03 04 00 03 29 29 29 29 29
00 00 00 00 00 00 00 00 00 00 32 00 00 00 00 00 00 31 00 00 00 00 00 00 00 00 00 00
30 30 30 30 30 02 00 01 02 00 32 00 00 00 00 00 00 31 00 01 02 00 01 30 30 30 30 30
00 00 00 00 00 31 00 27 28 00 15 29 29 29 29 29 29 16 00 27 28 00 32 00 00 00 00 00
00 00 00 00 00 31 00 27 28 00 00 00 00 00 00 00 00 16 00 27 28 00 32 00 00 00 00 00
00 00 00 00 00 31 00 27 28 00 01 25 25 25 25 25 25 02 00 27 28 00 32 00 00 00 00 00
09 29 29 29 29 04 00 03 04 00 03 26 26 06 05 26 26 04 00 03 04 00 03 29 29 29 29 10
31 00 00 00 00 00 00 00 00 00 00 00 00 27 28 00 00 00 00 00 00 00 00 00 00 00 00 32
31 00 01 25 25 02 00 01 25 25 25 02 00 27 28 00 01 25 25 25 02 00 01 25 25 01 00 32
31 00 03 26 06 28 00 03 26 26 26 04 00 03 04 00 03 26 26 26 04 00 27 05 26 04 00 32
31 00 00 00 27 28 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 27 28 00 00 00 32
21 25 02 00 27 28 00 01 02 00 01 25 25 25 25 25 25 02 00 01 02 00 27 28 00 01 25 22
19 26 04 00 03 04 00 27 28 00 03 26 26 06 05 26 26 04 00 27 28 00 03 04 00 03 26 20
31 00 00 00 00 00 00 27 28 00 00 00 00 27 28 00 00 00 00 27 28 00 00 00 00 00 00 32
31 00 01 25 25 25 25 08 07 25 25 02 00 27 28 00 01 25 25 08 07 25 25 25 25 02 00 32
31 00 03 26 26 26 26 26 26 26 26 04 00 03 04 00 03 26 26 26 26 26 26 26 26 04 00 32
31 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 32
11 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 12
